 ID RA DEC za flag Separation Primer_ID Primer_RA Primer_DEC FLUX_F090W FLUX_F105W FLUX_F115W FLUX_F125W FLUX_F140W FLUX_F150W FLUX_F160W FLUX_F200W FLUX_F277W FLUX_F356W FLUX_F410M FLUX_F435W FLUX_F444W FLUX_F606W FLUX_F814W FLUXERR_F090W FLUXERR_F105W FLUXERR_F115W FLUXERR_F125W FLUXERR_F140W FLUXERR_F150W FLUXERR_F160W FLUXERR_F200W FLUXERR_F277W FLUXERR_F356W FLUXERR_F410M FLUXERR_F435W FLUXERR_F444W FLUXERR_F606W FLUXERR_F814W
0 4128 150.128729 2.416338 5.74 1 0.0012770623596644718 4240 150.12872870780583 2.4163377984696615 39.54376738611635 -0.0001 45.674042804781905 24.758830736274806 56.676349531889855 42.594546641565856 46.171546746808396 41.32676478854039 66.89423348493573 164.95419097526553 190.6861587673881 -1.609461919063934 295.7551151220588 -1.4281125622072777 26.164835432611156 7.351482334279424 1000000000000.0 6.676500972486428 9.875459769226326 16.859228919670453 5.940849626032886 9.120768173578966 5.3598979886438 3.046986416896272 3.43813834142275 6.98092386101167 4.722060318753551 4.610721597752398 7.495203593735499 6.590150122316978
1 4656 150.18779 2.411291 6.13 1 0.0005335285043592199 4783 150.18778985173446 2.411290995507702 11.537024743657557 10.006218031561106 8.405274142128354 15.523253927746003 -0.0001 11.471247313668117 3.6971788501379113 13.800905752947209 76.93659632470353 179.7829646802777 197.36830806954578 -0.0001 240.55013124192604 7.458452136661458 1.781012828797552 7.842994935920838 6.039707664899673 8.588493023809903 8.226149879832205 1000000000000.0 7.25536447824615 6.148434810070139 5.821810825015584 5.505191004686395 5.493143072956574 10.149804280442371 1000000000000.0 6.385911702840409 8.598722993716002 6.94322815165317
2 5466 150.155826 2.403112 5.23 1 0.0020686961161903387 5621 150.15582550481327 2.403111707716187 20.44087583282489 -0.0001 28.03103518480102 28.610827541808426 64.17101915550217 29.92651003440795 29.833575295191213 28.455227015714943 92.41487703104417 141.20160671933817 386.5614187536492 -3.3945692996427725 277.05306975964515 0.5179355659992646 1.0493429632433837 4.46691824922442 1000000000000.0 4.027951643000872 6.054635965500129 10.127886554150425 3.45997535600948 5.086588204004375 2.943117215122121 2.1546295590749596 2.067575275829022 4.685408460657811 2.418090021719262 2.5212757973149214 3.323414113991074 3.9639811461711925
3 6027 150.103849 2.397894 5.29 1 0.015135760869027128 93050 150.1038461872903 2.3978908728115886 0.31300630163019244 58.80152957812845 8.019877337636478 11.245774170567527 16.49755012080777 25.591787610087284 3.3730670386613752 2.8751113339535332 15.513901302786547 37.23810756929178 93.48487185102685 1.687328764167688 75.9769853465491 -4.931382271654585 0.06398208795189951 10.44532838938806 8.617844224751817 9.192675705524483 8.337154106807427 17.27204000971328 8.027246983948892 8.048982594979686 6.08433252837573 2.7905746169189625 2.444867217719644 5.382008786356776 2.463392184397509 3.42574954847022 6.254653905454863 6.031122670749482
4 7069 150.170165 2.38839 5.35 1 0.0031305553274304666 7236 150.17016578927846 2.388390366501411 137.23814926089852 -0.0001 166.34713789693456 148.61337981056926 177.34671471957918 162.8864605009669 174.26911890116946 171.4461444262686 388.75510056279285 625.4820093231651 1837.8974022326076 24.014868837993152 1162.7660211182704 26.904964468555796 93.32089413381517 12.143170959430273 1000000000000.0 11.544731662980581 10.102252672468671 18.025595982489012 10.099622756301745 10.407077210096515 7.994848011723273 6.59259496095934 6.55103916012634 16.37314466248473 9.764965183730082 8.121387865770135 14.431735533630354 10.357822758965538
5 8221 150.150463 2.377871 5.2 1 0.002956057771195067 8406 150.1504632231073 2.37787020970978 7.198289746505085 -0.0001 5.144153848938075 -6.771279990177825 -8.251418604082065 2.162315529189763 1.4175002416666835 6.249361144251966 28.01784620180934 48.73926398594524 119.90655750408588 0.9515960481221729 108.67339446373558 5.790607429040672 4.621525316015535 2.809937997866734 1000000000000.0 3.231843056597524 6.2859162863335 10.846537422423538 2.7330341959213778 4.647657645296053 2.031255486750479 1.4783386606711817 1.369605397710494 2.919370054682001 1.6404600673361225 1.8709905490105836 4.374389873528837 4.736136015486944
6 8351 150.1759 2.376758 4.93 1 0.002508738473842722 8550 150.17589991142148 2.37675869122908 7.677421691031979 -0.0001 12.322948100973813 9.409776701630943 -4.148779829952393 13.86449836179273 31.007417048159873 13.748300734174117 52.235552830713154 119.81113773677207 187.11755248238794 4.652737521155349 170.80644991621017 5.271963585064015 15.59601317994489 4.505959247065078 1000000000000.0 3.970753404101914 6.423950652795159 11.011394131444947 4.064207558469641 6.410572508832821 3.0165071180377 2.2123368356875295 2.244308474260701 4.2654430467836 4.777540635231198 2.7411487797459353 6.095172313520084 4.972388552568801
7 8708 150.074228 2.373893 5.23 1 0.0017384012550520898 8925 150.07422751937926 2.373892949186348 81.29262384206311 -0.0001 84.34246109717695 89.24794454674982 118.0293346126208 86.65674194888452 80.60349373692738 93.00784522802556 224.9748669415065 281.92811806929154 882.862571773957 -0.0001 646.8411899561238 7.185371193170744 42.1041264522295 7.4888236748271915 1000000000000.0 6.921746755014609 10.117880614652655 19.79191346474726 6.488297443337611 7.790088453666303 5.280256819685082 4.540238637470237 4.419167682977054 10.669796782833886 1000000000000.0 6.165917220405458 8.281634362925573 7.376567221261549
8 8884 150.078333 2.372687 5.83 1 0.0013497039035935026 9114 150.07833293519536 2.3726873692842787 19.654711237741523 -0.0001 13.791634996189718 6.923001034106802 42.57344637622863 14.313874626681752 10.630313567859899 11.89078257533083 29.854596554903814 81.49306369400588 95.22101424767554 -4.2181803951267085 141.62525149859883 -2.0705776049557727 9.29389921726989 4.167666717036207 1000000000000.0 4.323259146822804 6.777847522186048 9.261078569688108 3.5328210807738682 5.317997289173378 2.7977386242191145 2.078931300295952 2.1609581693599913 4.097607985611766 3.696958590869543 2.778282366258016 5.926127997869264 4.5126669018791565
9 12002 150.177978 2.34963 6.64 1 0.0013686682128781075 12380 150.17797799575737 2.3496303801619813 62.31689388188444 -0.0001 489.3388479833067 113.48592178755881 62.836987505849706 293.0027298465835 78.68370718780723 211.64861030282012 133.23183022434887 301.5914094924994 1232.2054710123793 -0.0001 1005.1037714250338 3.091292779035043 0.8049364684483021 5.095703393033451 1000000000000.0 9.133160737269769 6.287751938292945 9.919390606068719 6.6906562449920015 8.716750693850717 5.299149009955282 3.09169519266 3.070336133312581 8.695245854802979 1000000000000.0 4.968893631767812 4.194194137808012 4.745942058123334
